episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode,features,cluster
The Broken Shore,92,Movies,The Broken Shore,,The Broken Shore,"An evocative crime thriller set against a background of police corruption, racism and family tragedy. Based on the novel by Peter Temple. (2012)","An evocative crime thriller set against a background of police corruption, racism and family tragedy. Based on the novel by Peter Temple.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR1211V001S00569dbb082230d7.20246519_1280.jpg,"[""['Director Rowan Woods']""]","['abc1', 'abc2', 'drama', 'crime', 'film', 'murder', 'aussie', 'mystery', 'australia', 'adaptation', 'a:established-parents', 'binge-worthy', 'a:home-duties', 'ns:be-entertained', 'a:older-sink-dink', 'a:retirees', 'a:working-parent']",2021-06-11 07:05:00,M,6212.0,,,evocative crime thriller set background police corruption racism family tragedy based novel peter temple 2012,10
Buried,110,Movies,Buried,,Buried,"Paul Conroy is not ready to die but when he wakes up six feet underground, poor reception, a rapidly draining battery and a dwindling oxygen supply are his worst enemies in a tightly confined race against time. (2010)","Paul Conroy is not ready to die but when he wakes up six feet underground, poor reception, a rapidly draining battery and a dwindling oxygen supply are his worst enemies in a tightly confined race against time.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2885A001S00_609b8e1d201c1_1920.jpg,"[""['Director Rodrigo Cortes']""]","['abc1', 'abc2', 'drama', 'mystery', 'thriller', 'film', 'edge-of-your-seat', 'psychological', 'disturbing', 'hard-hitting', 'intense', 'shocking', 'critically-acclaimed', 'movie', 'a:young-adults', 'a:established-parents', 'ns:be-entertained', 'ns:relieve-boredom', 'usa']",2021-06-01 07:00:00,MA,5430.0,,,paul conroy ready die wake six foot underground poor reception rapidly draining battery dwindling oxygen supply worst enemy tightly confined race time 2010,8
What's For Dinner? Lunar New Year,154,Family,What's For Dinner? Lunar New Year,,What's For Dinner? Lunar New Year,"Welcome to Penny's place for Lunar New Year! It starts with a race around the seafood markets for the freshest fish and veggies and ends with homemade dumplings, a colourful salad tossing tradition and some very cute dragons!","Welcome to Penny's place for Lunar New Year! It starts with a race around the seafood markets for the freshest fish and veggies and ends with homemade dumplings, a colourful salad tossing tradition and some very cute dragons!","['ABC ME', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK2040V001S00_6007526781e00.jpg,['[]'],"['abc3', 'childrens', 'primary-humanities', 'education', '3featured', 'family-viewing-abcme', 'family-viewing']",2021-02-05 06:00:00,G,783.0,,,welcome penny place lunar new year start race around seafood market freshest fish veggie end homemade dumpling colourful salad tossing tradition cute dragon,4
What's For Dinner? Lunar New Year (Simplified Chinese Subtitles),182,Family,What's For Dinner? Lunar New Year (Simplified Chinese Subtitles),,What's For Dinner? Lunar New Year (Simplified Chinese Subtitles),"Welcome to Penny's place for Lunar New Year! It starts with a race around the seafood markets for the freshest fish and veggies and ends with homemade dumplings, a colourful salad tossing tradition and some very cute dragons!","Welcome to Penny's place for Lunar New Year! It starts with a race around the seafood markets for the freshest fish and veggies and ends with homemade dumplings, a colourful salad tossing tradition and some very cute dragons!","['ABC ME', 'ABC TV', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/iv/IV2102V001S00_60121041d6535_1280.jpg,['[]'],"['abc3', 'education', 'iview', 'abc1', 'family-viewing']",2021-02-05 06:00:00,G,783.0,,,welcome penny place lunar new year start race around seafood market freshest fish veggie end homemade dumpling colourful salad tossing tradition cute dragon,4
Capturing Cricket: Steve Waugh In India,232,Documentary,Capturing Cricket: Steve Waugh In India,,Capturing Cricket: Steve Waugh In India,"Steve Waugh, the mastermind behind Australia's golden age of cricket dominance, takes us on a trip through India, exploring the rich diversity of cultures and searching for the true spirit of cricket.","Steve Waugh, the mastermind behind Australia's golden age of cricket dominance, takes us on a trip through India, exploring the rich diversity of cultures and searching for the true spirit of cricket.","['ABC TV', 'DOCUMENTARY', 'SPORT']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF1928H001S00_5f976d164ccc3.jpg,"[""['Host Steve Waugh']""]","['abc1', 'australia', 'docs', 'factual', 'sport', 'diversity', 'biography', 'cricket', 'real-life', 'compelling', 'revealing', 'uplifting', 'inspirational', 'informative', 'feature-length', 'a:established-parents', 'a:older-sink-dink', 'a:']",2020-11-17 21:30:47,PG,3407.0,,,steve waugh mastermind behind australia golden age cricket dominance take u trip india exploring rich diversity culture searching true spirit cricket,2
What Was It Like?,240,Documentary,What Was It Like?,,What Was It Like?,Eight filmmakers with intellectual disability interview their parents about what it was like when doctors delivered the news of their diagnosis.,Eight filmmakers with intellectual disability interview their parents about what it was like when doctors delivered the news of their diagnosis.,"['ABC TV', 'ABC TV Plus', 'DOCUMENTARY', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2101H003S00_61bfd376c4c94.jpg,"[""['Director Genevieve Clay-Smith']""]","['abc1', 'abc2', 'docs', 'diversity', 'cald', 'disability', 'belonging', 'real-life', 'australia', 'regional', 'heartfelt', 'inspirational', 'informative', 'empowerment', 'inclusion', 'revealing']",2021-12-20 17:01:00,PG,893.0,,,eight filmmaker intellectual disability interview parent like doctor delivered news diagnosis,11
Re-Frame ,248,Documentary,Re-Frame 2020,,Re-Frame 2020,More than 4 million Australians live with a disability and they all have a story to tell. To mark International Day of People with Disability we showcase short films made by people with disability.,More than 4 million Australians live with a disability and they all have a story to tell. To mark International Day of People with Disability we showcase short films made by people with disability.,"['ABC TV', 'ABC ARTS', 'ARTS & CULTURE', 'DRAMA', 'COMEDY', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2006H001S00_5fbf38e6bde0b.jpg,"[""['Host Bridie McKim']""]","['abc1', 'disability', 'arts', 'abcarts', 'drama', 'comedy', 'docs', 'diversity']",2020-11-28 14:30:00,M,3480.0,,,4 million australian live disability story tell mark international day people disability showcase short film made people disability,11
Re-Frame ,277,Documentary,Re-Frame 2021,,Re-Frame 2021,"Showcasing the diversity of disability, Re-Frame brings you stories from all around the country highlighting perspectives from people with disability - in celebration of International Day of People with Disability.","Showcasing the diversity of disability, Re-Frame brings you stories from all around the country highlighting perspectives from people with disability - in celebration of International Day of People with Disability.","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2101H001S00_619db0e4dc491_1920.jpg,['[]'],"['abc1', 'abc2', 'docs', 'diversity', 'cald', 'disability', 'belonging', 'real-life', 'australia', 'regional', 'endearing', 'inspirational', 'informative', 'empowerment', 'inclusion', 'revealing']",2021-12-03 07:00:00,M,3493.0,,,showcasing diversity disability reframe brings story around country highlighting perspective people disability celebration international day people disability,11
Intimate Encounters:  Years On,311,Comedy,Intimate Encounters: 20 Years On,,Intimate Encounters: 20 Years On,"In 1988, an exhibition caused shockwaves with photos of people with disability proudly displaying their sexuality. Now, the models speak about changing attitudes.","In 1988, an exhibition caused shockwaves with photos of people with disability proudly displaying their sexuality. Now, the models speak about changing attitudes.","['ABC TV', 'ABC ARTS', 'DOCUMENTARY', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/rk/RK2092H001S00_5fc04044dee1b_1920.jpg,"[""['Director Dieter Knierim']""]","['abc1', 'docs', 'short', 'arts', 'abcarts', 'sex', 'disability']",2020-11-28 14:30:00,M,774.0,,,1988 exhibition caused shockwaves photo people disability proudly displaying sexuality model speak changing attitude,11
Australia Day Live ,313,Comedy,Australia Day Live 2022,,Australia Day Live 2022,"A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","['ABC TV', 'ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/rv/RV2103H001S00_61df7bff2e59b_3600.jpg,"[""['Host Jeremy Fernandez'"", ""'Casey Donovan'"", ""'John Foreman'"", ""'Delta Goodrem']""]","['abc1', 'aussie', 'australia', 'event', 'concert', 'music', 'arts', 'abcarts', 'entertainment', 'performance', 'sydney', 'inclusion']",2022-01-26 21:31:00,PG,7871.0,,,concert firework spectacular sydney featuring delta goodrem casey donovan shane howard andrew farriss jon stevens isaiah firebrace william barton amber lawrence kirsty lee akers emma donovan,3
