user_id,cluster,episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode,features,index
2,6.0,Re-Frame ,277.0,Documentary,Re-Frame 2021,,Re-Frame 2021,"Showcasing the diversity of disability, Re-Frame brings you stories from all around the country highlighting perspectives from people with disability - in celebration of International Day of People with Disability.","Showcasing the diversity of disability, Re-Frame brings you stories from all around the country highlighting perspectives from people with disability - in celebration of International Day of People with Disability.","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2101H001S00_619db0e4dc491_1920.jpg,['[]'],"['abc1', 'abc2', 'docs', 'diversity', 'cald', 'disability', 'belonging', 'real-life', 'australia', 'regional', 'endearing', 'inspirational', 'informative', 'empowerment', 'inclusion', 'revealing']",2021-12-03 07:00:00,M,3493.0,,,showcasing diversity disability reframe brings story around country highlighting perspective people disability celebration international day people disability,
4,3.0,Capturing Cricket: Steve Waugh In India,232.0,Documentary,Capturing Cricket: Steve Waugh In India,,Capturing Cricket: Steve Waugh In India,"Steve Waugh, the mastermind behind Australia's golden age of cricket dominance, takes us on a trip through India, exploring the rich diversity of cultures and searching for the true spirit of cricket.","Steve Waugh, the mastermind behind Australia's golden age of cricket dominance, takes us on a trip through India, exploring the rich diversity of cultures and searching for the true spirit of cricket.","['ABC TV', 'DOCUMENTARY', 'SPORT']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF1928H001S00_5f976d164ccc3.jpg,"[""['Host Steve Waugh']""]","['abc1', 'australia', 'docs', 'factual', 'sport', 'diversity', 'biography', 'cricket', 'real-life', 'compelling', 'revealing', 'uplifting', 'inspirational', 'informative', 'feature-length', 'a:established-parents', 'a:older-sink-dink', 'a:']",2020-11-17 21:30:47,PG,3407.0,,,steve waugh mastermind behind australia golden age cricket dominance take u trip india exploring rich diversity culture searching true spirit cricket,
6,4.0,,10572.0,Drama,Traces,,,"While attending an online forensic course, a young lab assistant discovers that the fictitious case study has a link to her past. With the help of two female professors she works on bringing a killer to justice.","[""While Kathy oversees the excavation of Marie's grave, Daniel gives McKinven the lead he needs to make an arrest, but it's the exacting forensic science that finally brings peace for Emma. (Final)"", ""Daniel faces a culpable homicide charge for the fire and wants to protect Phil's reputation, but when Emma meets Phil for the first time, her instinct tells her to be wary of him."", ""Emma's return to Dundee to start a new job brings her mother's unsolved murder into sharp focus as she fights to bring the killer to justice. However, before she makes the journey back to Dundee, a fatal fire in a nightclub proves an sinister omen."", ""Emma's accusation against Phil drives a wedge between her and Daniel. McKinven urges Emma to stop sleuthing, as he's certain that the person who killed her mother is known to her."", ""McKinven's enquiries ruffle feathers and a furious Julie chides Emma for dragging up the past. When Emma is threatened with a knife, it's clear that someone's hiding something."", ""Kathy and Sarah work through the Secrets nightclub fire. Sarah's report has some damning things to say about the safety of the building, but after feeling overwhelmed by the police interest, she wonders what she's started.""]","['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2964A006S00_6108b78edbcfd.jpg,"[""['Cast Molly Windsor'"", ""'Jennifer Spence'"", ""'Laura Fraser'"", ""'Martin Compston']""]","['crime-drama', 'gritty', 'mystery', 'suspense', 'thriller', 'detective', 'dark', 'abc1', 'psychological', 'disturbing', 'uk', 'suburbia', 'crime', 'investigation', 'drama', 'murder', 'hard-hitting', 'mini-series']",2021-08-15 21:27:00,M,"[2618.0, 2592.0, 2712.0, 2642.0, 2581.0, 2593.0]",,,attending online forensic course young lab assistant discovers fictitious case study link past help two female professor work bringing killer justice,572.0
7,3.0,Australia Day Live ,313.0,Comedy,Australia Day Live 2022,,Australia Day Live 2022,"A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","['ABC TV', 'ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/rv/RV2103H001S00_61df7bff2e59b_3600.jpg,"[""['Host Jeremy Fernandez'"", ""'Casey Donovan'"", ""'John Foreman'"", ""'Delta Goodrem']""]","['abc1', 'aussie', 'australia', 'event', 'concert', 'music', 'arts', 'abcarts', 'entertainment', 'performance', 'sydney', 'inclusion']",2022-01-26 21:31:00,PG,7871.0,,,concert firework spectacular sydney featuring delta goodrem casey donovan shane howard andrew farriss jon stevens isaiah firebrace william barton amber lawrence kirsty lee akers emma donovan,
9,3.0,Australia Day Live ,313.0,Comedy,Australia Day Live 2022,,Australia Day Live 2022,"A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","['ABC TV', 'ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/rv/RV2103H001S00_61df7bff2e59b_3600.jpg,"[""['Host Jeremy Fernandez'"", ""'Casey Donovan'"", ""'John Foreman'"", ""'Delta Goodrem']""]","['abc1', 'aussie', 'australia', 'event', 'concert', 'music', 'arts', 'abcarts', 'entertainment', 'performance', 'sydney', 'inclusion']",2022-01-26 21:31:00,PG,7871.0,,,concert firework spectacular sydney featuring delta goodrem casey donovan shane howard andrew farriss jon stevens isaiah firebrace william barton amber lawrence kirsty lee akers emma donovan,
14,4.0,,10572.0,Drama,Traces,,,"While attending an online forensic course, a young lab assistant discovers that the fictitious case study has a link to her past. With the help of two female professors she works on bringing a killer to justice.","[""While Kathy oversees the excavation of Marie's grave, Daniel gives McKinven the lead he needs to make an arrest, but it's the exacting forensic science that finally brings peace for Emma. (Final)"", ""Daniel faces a culpable homicide charge for the fire and wants to protect Phil's reputation, but when Emma meets Phil for the first time, her instinct tells her to be wary of him."", ""Emma's return to Dundee to start a new job brings her mother's unsolved murder into sharp focus as she fights to bring the killer to justice. However, before she makes the journey back to Dundee, a fatal fire in a nightclub proves an sinister omen."", ""Emma's accusation against Phil drives a wedge between her and Daniel. McKinven urges Emma to stop sleuthing, as he's certain that the person who killed her mother is known to her."", ""McKinven's enquiries ruffle feathers and a furious Julie chides Emma for dragging up the past. When Emma is threatened with a knife, it's clear that someone's hiding something."", ""Kathy and Sarah work through the Secrets nightclub fire. Sarah's report has some damning things to say about the safety of the building, but after feeling overwhelmed by the police interest, she wonders what she's started.""]","['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2964A006S00_6108b78edbcfd.jpg,"[""['Cast Molly Windsor'"", ""'Jennifer Spence'"", ""'Laura Fraser'"", ""'Martin Compston']""]","['crime-drama', 'gritty', 'mystery', 'suspense', 'thriller', 'detective', 'dark', 'abc1', 'psychological', 'disturbing', 'uk', 'suburbia', 'crime', 'investigation', 'drama', 'murder', 'hard-hitting', 'mini-series']",2021-08-15 21:27:00,M,"[2618.0, 2592.0, 2712.0, 2642.0, 2581.0, 2593.0]",,,attending online forensic course young lab assistant discovers fictitious case study link past help two female professor work bringing killer justice,572.0
14,6.0,Re-Frame ,277.0,Documentary,Re-Frame 2021,,Re-Frame 2021,"Showcasing the diversity of disability, Re-Frame brings you stories from all around the country highlighting perspectives from people with disability - in celebration of International Day of People with Disability.","Showcasing the diversity of disability, Re-Frame brings you stories from all around the country highlighting perspectives from people with disability - in celebration of International Day of People with Disability.","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY', 'REGIONAL AUSTRALIA']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2101H001S00_619db0e4dc491_1920.jpg,['[]'],"['abc1', 'abc2', 'docs', 'diversity', 'cald', 'disability', 'belonging', 'real-life', 'australia', 'regional', 'endearing', 'inspirational', 'informative', 'empowerment', 'inclusion', 'revealing']",2021-12-03 07:00:00,M,3493.0,,,showcasing diversity disability reframe brings story around country highlighting perspective people disability celebration international day people disability,
15,3.0,Australia Day Live ,313.0,Comedy,Australia Day Live 2022,,Australia Day Live 2022,"A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","['ABC TV', 'ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/rv/RV2103H001S00_61df7bff2e59b_3600.jpg,"[""['Host Jeremy Fernandez'"", ""'Casey Donovan'"", ""'John Foreman'"", ""'Delta Goodrem']""]","['abc1', 'aussie', 'australia', 'event', 'concert', 'music', 'arts', 'abcarts', 'entertainment', 'performance', 'sydney', 'inclusion']",2022-01-26 21:31:00,PG,7871.0,,,concert firework spectacular sydney featuring delta goodrem casey donovan shane howard andrew farriss jon stevens isaiah firebrace william barton amber lawrence kirsty lee akers emma donovan,
18,3.0,Australia Day Live ,313.0,Comedy,Australia Day Live 2022,,Australia Day Live 2022,"A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","A concert and fireworks spectacular from Sydney featuring Delta Goodrem, Casey Donovan, Shane Howard, Andrew Farriss, Jon Stevens, Isaiah Firebrace, William Barton, Amber Lawrence, Kirsty Lee Akers, Emma Donovan and more.","['ABC TV', 'ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/rv/RV2103H001S00_61df7bff2e59b_3600.jpg,"[""['Host Jeremy Fernandez'"", ""'Casey Donovan'"", ""'John Foreman'"", ""'Delta Goodrem']""]","['abc1', 'aussie', 'australia', 'event', 'concert', 'music', 'arts', 'abcarts', 'entertainment', 'performance', 'sydney', 'inclusion']",2022-01-26 21:31:00,PG,7871.0,,,concert firework spectacular sydney featuring delta goodrem casey donovan shane howard andrew farriss jon stevens isaiah firebrace william barton amber lawrence kirsty lee akers emma donovan,
19,4.0,,10572.0,Drama,Traces,,,"While attending an online forensic course, a young lab assistant discovers that the fictitious case study has a link to her past. With the help of two female professors she works on bringing a killer to justice.","[""While Kathy oversees the excavation of Marie's grave, Daniel gives McKinven the lead he needs to make an arrest, but it's the exacting forensic science that finally brings peace for Emma. (Final)"", ""Daniel faces a culpable homicide charge for the fire and wants to protect Phil's reputation, but when Emma meets Phil for the first time, her instinct tells her to be wary of him."", ""Emma's return to Dundee to start a new job brings her mother's unsolved murder into sharp focus as she fights to bring the killer to justice. However, before she makes the journey back to Dundee, a fatal fire in a nightclub proves an sinister omen."", ""Emma's accusation against Phil drives a wedge between her and Daniel. McKinven urges Emma to stop sleuthing, as he's certain that the person who killed her mother is known to her."", ""McKinven's enquiries ruffle feathers and a furious Julie chides Emma for dragging up the past. When Emma is threatened with a knife, it's clear that someone's hiding something."", ""Kathy and Sarah work through the Secrets nightclub fire. Sarah's report has some damning things to say about the safety of the building, but after feeling overwhelmed by the police interest, she wonders what she's started.""]","['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2964A006S00_6108b78edbcfd.jpg,"[""['Cast Molly Windsor'"", ""'Jennifer Spence'"", ""'Laura Fraser'"", ""'Martin Compston']""]","['crime-drama', 'gritty', 'mystery', 'suspense', 'thriller', 'detective', 'dark', 'abc1', 'psychological', 'disturbing', 'uk', 'suburbia', 'crime', 'investigation', 'drama', 'murder', 'hard-hitting', 'mini-series']",2021-08-15 21:27:00,M,"[2618.0, 2592.0, 2712.0, 2642.0, 2581.0, 2593.0]",,,attending online forensic course young lab assistant discovers fictitious case study link past help two female professor work bringing killer justice,572.0
